Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Sales_Per_Quantity,Profit_Margin
Second Class,Consumer,United States,San Francisco,California,94109,West,Technology,Phones,213.48,3,0.2,16.011,71.16,7.5
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,22.72,4,0.2,7.384,5.68,32.5
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Art,19.46,7,0.0,5.0596,2.7800000000000002,25.999999999999996
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Appliances,60.34,7,0.0,15.6884,8.620000000000001,25.999999999999996
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,71.372,2,0.3,-1.0196,35.686,-1.4285714285714286
Standard Class,Consumer,United States,Orem,Utah,84057,West,Furniture,Tables,1044.63,3,0.0,240.2649,348.21000000000004,23.0
Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,11.648,2,0.2,4.2224,5.824,36.25000000000001
Second Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Accessories,90.57,3,0.0,11.7741,30.189999999999998,13.0
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,3083.43,7,0.5,-1665.0522,440.48999999999995,-54.0
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,9.618,2,0.7,-7.0532,4.809,-73.33333333333334
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,124.2,3,0.2,15.525,41.4,12.5
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Envelopes,3.264,2,0.2,1.1016,1.632,33.75
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,86.304,6,0.2,9.7092,14.384,11.249999999999998
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,6.858,6,0.7,-5.715,1.143,-83.33333333333334
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,15.76,2,0.2,3.546,7.88,22.499999999999996
Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,29.472,3,0.2,9.9468,9.824,33.75
First Class,Corporate,United States,Richardson,Texas,75080,Central,Technology,Phones,1097.544,7,0.2,123.4737,156.792,11.249999999999998
First Class,Corporate,United States,Richardson,Texas,75080,Central,Furniture,Furnishings,190.92,5,0.6,-147.963,38.184,-77.5
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,113.328,9,0.2,35.415,12.592,31.25
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,532.3992,3,0.32,-46.9764,177.4664,-8.823529411764707
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,212.058,3,0.3,-15.147,70.68599999999999,-7.142857142857144
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Technology,Phones,371.168,4,0.2,41.7564,92.792,11.25
Standard Class,Corporate,United States,Naperville,Illinois,60540,Central,Technology,Phones,147.168,4,0.2,16.5564,36.792,11.249999999999998
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,77.88,2,0.0,3.894,38.94,5.0
Standard Class,Corporate,United States,Melbourne,Florida,32935,South,Office Supplies,Storage,95.616,2,0.2,9.5616,47.808,10.0
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,Accessories,45.98,2,0.0,19.7714,22.99,43.00000000000001
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders,17.46,2,0.0,8.2062,8.73,47.0
Second Class,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,Storage,211.96,4,0.0,8.4784,52.99,4.0
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories,45.0,3,0.0,4.95,15.0,11.0
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Phones,21.8,2,0.0,6.104,10.9,27.999999999999996
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Binders,38.22,6,0.0,17.9634,6.37,47.0
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Labels,75.18,6,0.0,35.3346,12.530000000000001,47.0
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Furnishings,6.16,2,0.0,2.9568,3.08,48.0
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Chairs,89.99,1,0.0,17.0981,89.99,19.0
Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,15.26,7,0.0,6.2566,2.18,41.0
Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones,1029.95,5,0.0,298.6855,205.99,28.999999999999996
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Storage,208.56,6,0.0,52.14,34.76,25.0
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,32.4,5,0.0,15.552,6.4799999999999995,48.0
First Class,Consumer,United States,Troy,New York,12180,East,Furniture,Chairs,319.41,5,0.1,7.098,63.882000000000005,2.222222222222222
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,14.56,2,0.0,6.9888,7.28,48.0
First Class,Consumer,United States,Troy,New York,12180,East,Technology,Accessories,30.0,2,0.0,3.3,15.0,11.0
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders,48.48,4,0.2,16.362,12.12,33.75
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,1.68,1,0.0,0.84,1.68,50.0
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories,13.98,2,0.0,6.1512,6.99,44.0
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,25.824,6,0.2,9.3612,4.304,36.25
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,146.73,3,0.0,68.9631,48.91,47.0
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,79.76,4,0.0,22.3328,19.94,27.999999999999996
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,213.115,5,0.3,-15.2225,42.623000000000005,-7.142857142857142
Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Office Supplies,Art,1113.024,8,0.2,111.3024,139.128,10.000000000000002
Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Technology,Phones,167.968,4,0.2,62.988,41.992,37.5
First Class,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Paper,75.88,2,0.0,35.6636,37.94,47.00000000000001
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,4.616,1,0.2,1.731,4.616,37.50000000000001
Second Class,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper,19.05,3,0.0,8.763,6.3500000000000005,46.0
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Chairs,831.936,8,0.2,-114.3912,103.992,-13.749999999999998
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Furnishings,97.04,2,0.2,1.213,48.52,1.25
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage,72.784,1,0.2,-18.196,72.784,-25.0
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,1.248,3,0.8,-1.9344,0.416,-154.99999999999997
First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,9.708,3,0.6,-5.8248,3.236,-60.0
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,27.24,3,0.2,2.724,9.08,10.000000000000002
Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,19.3,5,0.6,-14.475,3.8600000000000003,-75.0
First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Appliances,208.16,1,0.0,56.2032,208.16,27.0
First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Binders,16.74,3,0.0,8.0352,5.579999999999999,48.00000000000001
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,14.9,5,0.0,4.172,2.98,27.999999999999996
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,21.39,1,0.0,6.2031,21.39,28.999999999999996
Standard Class,Corporate,United States,Durham,North Carolina,27707,South,Office Supplies,Envelopes,200.984,7,0.2,62.8075,28.712,31.25
First Class,Home Office,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,230.376,3,0.2,-48.9549,76.792,-21.25
Second Class,Consumer,United States,Columbia,South Carolina,29203,South,Furniture,Chairs,301.96,2,0.0,33.2156,150.98,11.000000000000002
Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Technology,Accessories,19.99,1,0.0,6.7966,19.99,34.0
Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Labels,6.16,2,0.0,2.9568,3.08,48.0
Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Storage,158.368,7,0.2,13.8572,22.624,8.75
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Art,20.1,3,0.0,6.633,6.7,32.99999999999999
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Technology,Phones,73.584,2,0.2,8.2782,36.792,11.249999999999998
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,6.48,1,0.0,3.1104,6.48,47.99999999999999
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,12.96,2,0.0,6.2208,6.48,47.99999999999999
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,53.34,3,0.0,16.5354,17.78,30.999999999999993
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,32.96,2,0.0,16.1504,16.48,49.00000000000001
Standard Class,Home Office,United States,Portland,Oregon,97206,West,Office Supplies,Binders,5.682,1,0.7,-3.788,5.682,-66.66666666666666
Second Class,Home Office,United States,New York City,New York,10009,East,Furniture,Furnishings,96.53,7,0.0,40.5426,13.790000000000001,42.0
First Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,51.312,3,0.2,17.9592,17.104,35.0
Standard Class,Corporate,United States,Saint Paul,Minnesota,55106,Central,Office Supplies,Appliances,77.88,6,0.0,22.5852,12.979999999999999,29.000000000000004
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,64.624,7,0.2,22.6184,9.232,35.0
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Accessories,95.976,3,0.2,-10.7973,31.992,-11.25
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,1.788,3,0.8,-3.0396,0.596,-170.0
Second Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Paper,23.92,4,0.0,11.7208,5.98,49.0
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Technology,Accessories,238.896,6,0.2,-26.8758,39.815999999999995,-11.250000000000002
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Furniture,Furnishings,102.36,3,0.2,-3.8385,34.12,-3.75
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Office Supplies,Binders,36.882,3,0.7,-25.8174,12.293999999999999,-70.0
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Accessories,74.112,8,0.2,17.6016,9.264,23.750000000000004
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Phones,27.992,1,0.2,2.0994,27.992,7.5
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Office Supplies,Art,3.304,1,0.2,1.0738,3.304,32.50000000000001
Standard Class,Home Office,United States,Orland Park,Illinois,60462,Central,Technology,Accessories,339.96,5,0.2,67.992,67.99199999999999,20.000000000000004
Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,41.96,2,0.0,10.9096,20.98,25.999999999999996
Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Art,75.96,2,0.0,22.788,37.98,30.000000000000004
Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Binders,27.24,6,0.0,13.3476,4.54,49.00000000000001
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,40.096,14,0.2,14.5348,2.864,36.25000000000001
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,4.72,2,0.2,1.652,2.36,35.0
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,23.976,3,0.2,7.4925,7.992,31.25
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,130.464,6,0.2,44.0316,21.744,33.75
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Tables,787.53,3,0.0,165.3813,262.51,21.000000000000004
Standard Class,Corporate,United States,Bristol,Tennessee,37620,South,Office Supplies,Binders,157.794,1,0.7,-115.7156,157.794,-73.33333333333333
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Furniture,Furnishings,47.04,3,0.0,18.3456,15.68,39.0
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Binders,30.84,4,0.0,13.878,7.71,45.0
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Storage,226.56,6,0.0,63.4368,37.76,27.999999999999996
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Envelopes,115.02,9,0.0,51.759,12.78,45.0
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Technology,Phones,68.04,7,0.0,19.7316,9.72,28.999999999999996
Second Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,600.558,3,0.3,-8.5794,200.186,-1.4285714285714286
Standard Class,Consumer,United States,Bloomington,Illinois,61701,Central,Furniture,Tables,617.7,6,0.5,-407.682,102.95,-66.0
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,2.388,2,0.7,-1.8308,1.194,-76.66666666666667
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Storage,243.992,7,0.2,30.499,34.856,12.5
Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Chairs,81.424,2,0.2,-9.1602,40.712,-11.249999999999998
Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Furnishings,238.56,3,0.0,26.2416,79.52,10.999999999999998
First Class,Corporate,United States,Columbus,Ohio,43229,East,Technology,Phones,59.97,5,0.4,-11.994,11.994,-20.0
First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,78.304,2,0.2,29.364,39.152,37.5
First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,21.456,9,0.2,6.9732,2.384,32.5
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,20.04,3,0.0,9.6192,6.68,48.0
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,35.44,1,0.0,16.6568,35.44,47.0
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Art,11.52,4,0.0,3.456,2.88,30.0
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Fasteners,4.02,2,0.0,1.9698,2.01,49.00000000000001
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Binders,76.176,3,0.2,26.6616,25.392,35.0
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Supplies,65.88,6,0.0,18.4464,10.979999999999999,28.000000000000004
Standard Class,Consumer,United States,Roseville,California,95661,West,Furniture,Furnishings,43.12,14,0.0,20.6976,3.0799999999999996,48.00000000000001
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,82.8,2,0.2,10.35,41.4,12.5
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Art,8.82,3,0.0,2.3814,2.94,27.0
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Envelopes,10.86,3,0.0,5.1042,3.6199999999999997,47.0
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Paper,143.7,3,0.0,68.976,47.9,48.00000000000001
Standard Class,Consumer,United States,Independence,Missouri,64055,Central,Office Supplies,Appliances,839.43,3,0.0,218.2518,279.81,26.0
Standard Class,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Storage,671.93,7,0.0,20.1579,95.99,3.0000000000000004
Standard Class,Home Office,United States,Newark,Ohio,43055,East,Furniture,Furnishings,93.888,4,0.2,12.9096,23.472,13.749999999999998
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,384.45,11,0.0,103.8015,34.949999999999996,27.0
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,149.97,3,0.0,5.9988,49.99,4.0
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Furniture,Chairs,1951.84,8,0.0,585.552,243.98,30.000000000000004
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Office Supplies,Binders,171.55,5,0.0,80.6285,34.31,47.0
First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Office Supplies,Appliances,157.92,5,0.2,17.766,31.583999999999996,11.25
First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Technology,Phones,203.184,2,0.2,15.2388,101.592,7.5
First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,58.38,7,0.0,26.271,8.34,45.0
First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,105.52,4,0.0,48.5392,26.38,46.0
First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Storage,80.88,6,0.0,21.0288,13.479999999999999,26.0
Standard Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,Art,6.63,3,0.0,1.7901,2.21,27.0
Second Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,Chairs,457.568,2,0.2,51.4764,228.784,11.25
Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Office Supplies,Labels,14.62,2,0.0,6.8714,7.31,47.0
Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Technology,Phones,944.93,7,0.0,236.2325,134.98999999999998,25.0
First Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,5.98,1,0.0,2.691,5.98,44.99999999999999
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,Accessories,54.384,2,0.2,1.3596,27.192,2.5
Standard Class,Consumer,United States,Carlsbad,New Mexico,88220,West,Office Supplies,Envelopes,28.4,5,0.0,13.348,5.68,47.0
Standard Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Binders,27.68,2,0.2,9.688,13.84,35.0
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,9.936,3,0.2,2.7324,3.312,27.500000000000004
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Machines,8159.952,8,0.4,-1359.992,1019.994,-16.666666666666664
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Storage,275.928,3,0.2,-58.6347,91.976,-21.250000000000004
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Furniture,Chairs,1740.06,9,0.3,-24.858,193.34,-1.4285714285714286
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,32.064,6,0.2,6.8136,5.344,21.25
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Appliances,177.98,5,0.8,-453.849,35.596,-255.00000000000003
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Phones,143.976,3,0.2,8.9985,47.992,6.25
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,20.94,3,0.0,9.8418,6.98,46.99999999999999
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,110.96,2,0.0,53.2608,55.48,48.00000000000001
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Chairs,340.144,7,0.2,21.259,48.592,6.25
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Appliances,52.448,2,0.8,-131.12,26.224,-250.0
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Labels,20.16,4,0.2,6.552,5.04,32.49999999999999
Second Class,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Appliances,97.264,4,0.8,-243.16,24.316,-250.0
Second Class,Consumer,United States,Newark,Ohio,43055,East,Furniture,Chairs,396.802,7,0.3,-11.3372,56.686,-2.8571428571428568
Second Class,Consumer,United States,Newark,Ohio,43055,East,Office Supplies,Supplies,15.88,5,0.2,-3.7715,3.176,-23.75
Standard Class,Home Office,United States,New York City,New York,10009,East,Office Supplies,Art,3.28,1,0.0,1.4104,3.28,43.00000000000001
Second Class,Corporate,United States,Decatur,Illinois,62521,Central,Office Supplies,Storage,24.816,2,0.2,1.8612,12.408,7.5
Second Class,Corporate,United States,Decatur,Illinois,62521,Central,Technology,Accessories,408.744,7,0.2,76.6395,58.392,18.749999999999996
Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Technology,Phones,503.96,4,0.0,131.0296,125.99,26.0
Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Technology,Phones,149.95,5,0.0,41.986,29.99,28.000000000000004
Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Technology,Accessories,29.0,2,0.0,7.25,14.5,25.0
Standard Class,Consumer,United States,Fairfield,Connecticut,6824,East,Office Supplies,Binders,7.16,2,0.0,3.4368,3.58,48.0
Standard Class,Home Office,United States,Los Angeles,California,90032,West,Technology,Accessories,176.8,8,0.0,22.984,22.1,13.0
Standard Class,Corporate,United States,Grand Prairie,Texas,75051,Central,Office Supplies,Storage,37.224,3,0.2,3.7224,12.408,10.0
Standard Class,Corporate,United States,Grand Prairie,Texas,75051,Central,Office Supplies,Paper,20.016,3,0.2,6.255,6.672,31.25
First Class,Home Office,United States,New York City,New York,10035,East,Furniture,Bookcases,899.136,4,0.2,112.392,224.784,12.5
First Class,Home Office,United States,New York City,New York,10035,East,Technology,Phones,71.76,6,0.0,20.0928,11.96,27.999999999999996
First Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,Paper,51.84,8,0.0,24.8832,6.48,47.99999999999999
First Class,Home Office,United States,New York City,New York,10035,East,Furniture,Bookcases,626.352,3,0.2,46.9764,208.784,7.5
First Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,Art,19.9,5,0.0,6.567,3.9799999999999995,33.0
Standard Class,Corporate,United States,Redlands,California,92374,West,Office Supplies,Envelopes,14.28,7,0.0,6.7116,2.04,47.0
Standard Class,Consumer,United States,Hamilton,Ohio,45011,East,Office Supplies,Art,7.408,2,0.2,1.2038,3.704,16.249999999999996
Standard Class,Consumer,United States,Hamilton,Ohio,45011,East,Office Supplies,Art,6.048,3,0.2,1.5876,2.016,26.249999999999996
Standard Class,Home Office,United States,Westfield,New Jersey,7090,East,Office Supplies,Storage,46.26,3,0.0,12.0276,15.42,26.0
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Binders,2.946,2,0.7,-2.2586,1.473,-76.66666666666666
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Paper,16.056,3,0.2,5.8203,5.352,36.24999999999999
Standard Class,Consumer,United States,Akron,Ohio,44312,East,Office Supplies,Paper,21.744,3,0.2,6.795,7.248,31.25
First Class,Consumer,United States,Denver,Colorado,80219,West,Furniture,Tables,218.75,2,0.5,-161.875,109.375,-74.0
First Class,Consumer,United States,Denver,Colorado,80219,West,Office Supplies,Appliances,2.6,1,0.2,0.2925,2.6,11.249999999999998
Second Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Appliances,66.284,2,0.8,-178.9668,33.142,-270.0
Standard Class,Corporate,United States,Franklin,Tennessee,37064,South,Furniture,Furnishings,35.168,7,0.2,9.6712,5.024,27.500000000000004
Standard Class,Consumer,United States,Whittier,California,90604,West,Technology,Phones,444.768,4,0.2,44.4768,111.192,10.0
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Office Supplies,Storage,83.92,4,0.0,5.8744,20.98,6.999999999999999
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Technology,Phones,131.98,2,0.0,35.6346,65.99,27.0
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Office Supplies,Binders,15.92,4,0.0,7.4824,3.98,47.0
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Office Supplies,Fasteners,52.29,9,0.0,16.2099,5.81,31.000000000000007
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Office Supplies,Storage,91.99,1,0.0,3.6796,91.99,4.000000000000001
Second Class,Corporate,United States,Dallas,Texas,75220,Central,Technology,Accessories,20.8,2,0.2,6.5,10.4,31.25
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Office Supplies,Labels,23.68,2,0.2,8.88,11.84,37.50000000000001
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Furniture,Bookcases,452.45,5,0.5,-244.323,90.49,-54.0
