OrderID,OrderDate,CustomerID,Region,Category,Product,Quantity,UnitPrice,DiscountPercent,Sales,Cost,Profit,PaymentMethod,OrderStatus
ORD-10021,2025-12-06,CUST-1042,South,Furniture,Desk,6,68284.39,5,389221.02,333559.83,55661.19,Digital Wallet,Completed
ORD-10022,2025-11-04,CUST-1049,West,Electronics,Laptop,8,20574.25,20,131675.2,92629.19,39046.01,Digital Wallet,Completed
ORD-10023,2025-07-02,CUST-1304,West,Electronics,Keyboard,3,40344.7,0,121034.1,81386.99,39647.11,Cash,Completed
ORD-10024,2025-12-04,CUST-1344,,Books,Python Book,3,3674.18,20,8818.03,5894.99,2923.04,Card,Completed
ORD-10025,2025-04-04,CUST-1332,North,Sports,Gloves,11,10407.85,15,97313.4,74630.24,22683.16,Bank Transfer,Completed
ORD-10026,2025-12-24,CUST-1065,West,Books,Python Book,6,4993.22,5,28461.35,20655.48,7805.87,Cash,Completed
ORD-10027,2025-01-05,CUST-1141,East,Books,Python Book,8,3523.34,15,23958.71,16292.59,7666.12,Bank Transfer,Completed
ORD-10028,2025-12-30,CUST-1132,South,Books,Math Book,2,5325.79,5,10119.0,5663.55,4455.45,Card,Completed
ORD-10029,2025-09-09,CUST-1171,East,Clothing,Shirt,1,14294.01,20,11435.21,7721.58,3713.63,Card,Cancelled
ORD-10030,2025-06-04,CUST-1344,West,Books,Python Book,11,5467.33,10,54126.57,48452.12,5674.45,Digital Wallet,Completed
ORD-10031,2025-08-22,CUST-1260,West,Clothing,Cap,3,10494.22,5,29908.53,23819.85,6088.68,Bank Transfer,Completed
ORD-10032,2025-03-18,CUST-1015,North,Clothing,Jacket,12,1751.84,15,17868.77,11477.18,6391.58,Bank Transfer,Completed
ORD-10033,2025-01-05,CUST-1020,Central,Clothing,Jacket,1,8388.87,15,7130.54,6647.94,482.6,Card,Returned
ORD-10034,2025-11-30,CUST-1227,West,Electronics,Keyboard,5,157998.18,15,671492.26,523074.0,148418.26,Digital Wallet,Completed
ORD-10035,2025-10-08,CUST-1095,South,Books,Python Book,12,3575.37,15,36468.77,32859.96,3608.82,Cash,Completed
ORD-10036,2025-11-23,CUST-1006,South,Clothing,Jeans,7,5689.43,5,37834.71,25747.23,12087.48,Card,Completed
ORD-10037,2025-08-25,CUST-1197,North,Electronics,Keyboard,8,30888.26,0,247106.08,180619.46,66486.62,Cash,Returned
ORD-10038,2025-09-24,CUST-1137,South,Furniture,Chair,7,89962.36,5,598249.69,499263.82,98985.88,Digital Wallet,Completed
ORD-10039,2025-10-26,CUST-1011,Central,Sports,Racket,11,6283.35,0,69116.85,52227.55,16889.3,Digital Wallet,Cancelled
ORD-10040,2025-08-04,CUST-1211,North,Electronics,Monitor,2,37918.76,5,72045.64,46365.54,25680.11,Digital Wallet,Completed
ORD-10041,2025-10-06,CUST-1246,East,Sports,Gloves,10,10307.97,0,103079.7,65192.6,37887.1,Card,Completed
ORD-10042,2025-11-04,CUST-1021,West,Furniture,Shelf,5,41651.45,10,187431.52,110513.15,76918.37,Cash,Cancelled
ORD-10043,2025-01-15,CUST-1335,North,Electronics,Keyboard,10,24497.44,5,232725.68,130557.41,102168.27,Bank Transfer,Completed
ORD-10044,2025-06-12,CUST-1116,Central,Sports,Racket,3,23075.15,5,65764.18,40132.45,25631.73,Card,Completed
ORD-10045,2025-08-21,CUST-1145,South,Sports,Football,7,13330.8,5,88649.82,66889.26,21760.56,Card,Completed
ORD-10046,2025-05-14,CUST-1306,East,Sports,Racket,1,5573.7,5,5295.01,3480.62,1814.4,Bank Transfer,Returned
ORD-10047,2025-11-29,CUST-1099,Central,Electronics,Laptop,12,174683.77,20,1676964.19,1422867.5,254096.69,Bank Transfer,Completed
ORD-10048,2025-08-25,CUST-1143,East,Furniture,Cabinet,4,19455.26,5,73929.99,50068.14,23861.85,Digital Wallet,Completed
ORD-10049,2025-01-09,CUST-1024,Central,Furniture,Shelf,7,28548.97,15,169866.37,123238.55,46627.82,Cash,Completed
ORD-10050,2025-04-25,CUST-1182,West,Electronics,Keyboard,12,89187.38,0,1070248.56,706018.72,364229.84,Cash,Returned
ORD-10051,2025-07-27,CUST-1306,South,Books,Python Book,11,3435.03,5,35896.06,20556.29,15339.77,Card,Completed
ORD-10052,2025-07-22,CUST-1310,Central,Electronics,Monitor,6,41254.92,0,247529.52,170148.43,77381.09,Card,Completed
ORD-10053,2025-02-26,CUST-1289,East,Books,AI Book,10,2311.08,5,21955.26,13824.45,8130.81,Digital Wallet,Completed
ORD-10054,2025-08-28,CUST-1253,East,Clothing,Shoes,11,4985.99,0,54845.89,44966.55,9879.34,Bank Transfer,Completed
ORD-10055,2025-11-26,CUST-1118,East,Books,History Book,8,713.85,20,4568.64,4516.69,51.95,Cash,Completed
ORD-10056,2025-06-09,CUST-1292,South,Furniture,Sofa,6,52065.16,5,296771.41,245466.93,51304.48,Bank Transfer,Completed
ORD-10057,2025-09-08,CUST-1326,North,Electronics,Keyboard,7,174627.55,,1161273.21,834458.24,326814.96,Digital Wallet,Returned
ORD-10058,2025-07-03,CUST-1341,Central,Clothing,Shoes,5,5508.89,5,26167.23,20099.78,6067.45,Digital Wallet,Completed
ORD-10059,2025-04-18,CUST-1090,Central,Clothing,Shoes,6,,20,44962.22,30343.61,14618.61,Digital Wallet,Completed
ORD-10060,2025-03-27,CUST-1232,South,Books,Novel,4,5232.58,20,16744.26,13047.02,3697.24,Cash,Cancelled
ORD-10061,2025-03-23,CUST-1277,West,Furniture,Sofa,9,48128.16,15,368180.42,233355.41,134825.02,Bank Transfer,Returned
ORD-10062,2025-09-28,CUST-1059,Central,Sports,Gloves,11,,5,165635.22,132139.37,33495.85,Cash,Completed
ORD-10063,2025-05-26,CUST-1257,West,Furniture,Shelf,5,78310.95,20,313243.8,256662.27,56581.53,Bank Transfer,Completed
ORD-10064,2025-06-12,CUST-1058,Central,Books,History Book,3,5948.44,5,16953.05,14591.67,2361.39,Card,Completed
ORD-10065,2025-03-15,CUST-1092,North,Clothing,Jacket,5,4734.27,5,22487.78,12932.36,9555.43,Digital Wallet,Completed
ORD-10066,2025-02-15,CUST-1087,South,Sports,Helmet,4,,0,7555.68,4589.03,2966.65,Cash,Completed
ORD-10067,2025-10-28,CUST-1134,South,Sports,Football,10,7675.5,5,72917.25,44681.51,28235.74,Cash,Completed
ORD-10068,2025-10-14,CUST-1197,South,Clothing,Cap,5,9889.76,15,42031.48,33205.38,8826.1,Cash,Returned
ORD-10069,2025-06-16,CUST-1263,North,Furniture,Shelf,11,64643.69,5,675526.56,390747.48,284779.08,Digital Wallet,Completed
ORD-10070,2025-09-12,CUST-1020,North,Books,History Book,12,5733.37,20,55040.35,36292.42,18747.94,Digital Wallet,Completed
ORD-10071,2025-11-06,CUST-1160,West,Sports,Racket,3,6365.75,5,18142.39,13439.18,4703.21,Cash,Cancelled
ORD-10072,2025-07-14,CUST-1255,West,Books,AI Book,3,4680.35,5,13339.0,9465.02,3873.98,Card,Completed
ORD-10073,2025-05-15,CUST-1152,South,Furniture,Sofa,1,18861.14,10,16975.03,11557.95,5417.08,Bank Transfer,Completed
ORD-10074,2025-11-25,CUST-1314,South,Clothing,Shoes,2,2134.81,10,3842.66,3439.6,403.06,Card,Cancelled
ORD-10075,2025-08-02,CUST-1309,North,Furniture,Desk,2,,0,41499.16,26149.99,15349.17,Digital Wallet,Completed
ORD-10076,2025-05-02,CUST-1066,West,Sports,Bat,1,22695.0,20,18156.0,18177.42,-21.42,Digital Wallet,Completed
ORD-10077,2025-08-02,CUST-1267,West,Furniture,Cabinet,11,61487.05,0,676357.55,451387.5,224970.05,Card,Completed
ORD-10078,2025-12-15,CUST-1264,East,Sports,Bat,9,7477.58,0,67298.22,48813.36,18484.86,Digital Wallet,Completed
ORD-10079,2025-05-24,CUST-1007,East,Electronics,Laptop,1,141131.77,0,141131.77,104587.94,36543.83,Card,Completed
ORD-10080,2025-02-02,CUST-1337,South,Clothing,Shoes,7,8891.62,0,62241.34,38849.15,23392.19,Cash,Returned
ORD-10081,2025-12-16,CUST-1342,North,Clothing,Shoes,2,892.34,5,1695.45,965.65,729.8,Bank Transfer,Cancelled
ORD-10082,2025-11-18,CUST-1261,North,Sports,Gloves,6,19426.32,10,104902.13,84315.16,20586.96,Digital Wallet,Completed
ORD-10083,2025-02-06,CUST-1333,South,Electronics,Laptop,2,27349.99,15,46494.98,28724.34,17770.65,Cash,Returned
ORD-10084,2025-10-02,CUST-1020,North,Furniture,Chair,4,82465.74,5,313369.81,239836.32,73533.49,Card,Returned
ORD-10085,2025-07-14,CUST-1244,North,Sports,Football,11,7345.75,20,64642.6,57807.32,6835.28,Digital Wallet,Completed
ORD-10086,2025-05-18,CUST-1151,North,Furniture,Shelf,8,14408.69,0,115269.52,62643.35,52626.17,Digital Wallet,Cancelled
ORD-10087,2025-04-28,CUST-1014,Central,Furniture,Desk,6,87807.64,10,474161.26,381754.87,92406.38,Card,Completed
ORD-10088,2025-09-08,CUST-1120,East,Books,Math Book,8,4228.5,20,27062.4,25809.87,1252.53,Digital Wallet,Completed
ORD-10089,2025-02-03,CUST-1013,East,Electronics,Mouse,5,128953.91,0,644769.55,424576.42,220193.13,Digital Wallet,Completed
ORD-10090,2025-03-22,CUST-1049,West,Furniture,Desk,6,4463.01,10,24100.25,19460.16,4640.1,Bank Transfer,Completed
ORD-10091,2025-08-06,CUST-1318,North,Books,Python Book,4,676.18,5,2569.48,2003.85,565.64,Cash,Cancelled
ORD-10092,2025-07-27,CUST-1216,East,Furniture,Desk,6,7536.76,0,45220.56,33967.9,11252.66,Bank Transfer,Completed
ORD-10093,2025-05-24,CUST-1219,Central,Books,History Book,3,2098.56,5,5980.9,3592.36,2388.53,Digital Wallet,Completed
ORD-10094,2025-05-17,CUST-1026,North,Clothing,Shirt,1,12044.15,10,10839.74,7518.26,3321.48,Cash,Completed
ORD-10095,2025-05-09,CUST-1132,South,Sports,Helmet,6,14022.54,10,75721.72,45193.86,30527.85,Card,Completed
ORD-10096,2025-06-18,CUST-1256,North,Electronics,Mouse,9,27481.47,5,234966.57,154363.49,80603.08,Digital Wallet,Returned
ORD-10097,2025-02-04,CUST-1147,South,Sports,Bat,6,13672.82,10,73833.23,50225.65,23607.58,Digital Wallet,Completed
ORD-10098,2025-10-18,CUST-1084,Central,Clothing,Shoes,2,13552.19,10,24393.94,19687.09,4706.85,Card,Cancelled
ORD-10099,2025-06-21,CUST-1190,West,Furniture,Cabinet,1,45543.35,0,45543.35,34348.41,11194.94,Cash,Cancelled
ORD-10100,2025-08-13,CUST-1175,West,Furniture,Sofa,5,20908.31,15,88860.32,76640.46,12219.86,Card,Completed
ORD-10101,2025-12-18,CUST-1201,South,Clothing,Jacket,10,3209.08,5,30486.26,23287.52,7198.74,Cash,Completed
ORD-10102,2025-05-30,CUST-1006,West,Books,History Book,3,5753.42,0,17260.26,11038.5,6221.76,Bank Transfer,Completed
ORD-10103,2025-12-19,CUST-1318,West,Clothing,Cap,2,7482.62,0,14965.24,10802.67,4162.57,Card,Cancelled
ORD-10104,2025-04-30,CUST-1330,West,Furniture,Sofa,2,45927.21,5,87261.7,61218.0,26043.7,Card,Returned
ORD-10105,2025-01-25,CUST-1049,East,Books,Novel,1,5387.26,10,4848.53,4181.45,667.08,Cash,Cancelled
ORD-10106,2025-08-20,CUST-1077,Central,Furniture,Chair,10,55903.64,15,475180.94,426831.54,48349.4,Digital Wallet,Completed
ORD-10107,2025-08-20,CUST-1013,North,Furniture,Desk,10,87827.52,5,834361.44,689102.03,145259.41,Cash,Completed
ORD-10108,2025-11-01,CUST-1169,East,Books,History Book,11,2933.59,5,30656.02,24752.9,5903.12,Card,Cancelled
ORD-10109,2025-04-01,CUST-1092,East,Furniture,Sofa,2,52464.14,0,104928.28,67319.52,37608.76,Card,Cancelled
ORD-10110,2025-01-06,CUST-1199,North,Furniture,Cabinet,2,42425.42,5,80608.3,48843.15,31765.15,Digital Wallet,Completed
ORD-10111,2025-02-24,CUST-1287,North,Furniture,Chair,2,25452.25,5,48359.27,33728.42,14630.86,Cash,Cancelled
ORD-10112,2025-12-31,CUST-1157,North,Furniture,Cabinet,4,52757.92,0,211031.68,146894.9,64136.78,Digital Wallet,Completed
ORD-10113,2025-02-07,CUST-1308,North,Sports,Football,4,7962.05,0,31848.2,19516.16,12332.04,Card,Completed
ORD-10114,2025-10-28,CUST-1082,North,Electronics,Laptop,4,175297.27,5,666129.63,527064.89,139064.74,Card,Completed
ORD-10115,2025-06-25,CUST-1140,West,Electronics,Tablet,7,134164.98,10,845239.37,748602.95,96636.43,Digital Wallet,Completed
ORD-10116,2025-03-20,CUST-1257,North,Books,AI Book,9,4517.84,0,40660.56,28933.75,11726.81,Card,Completed
ORD-10117,2025-02-14,CUST-1276,West,Books,Math Book,8,5781.81,5,43941.76,26631.97,17309.79,Cash,Completed
ORD-10118,2025-05-19,CUST-1329,South,Furniture,Sofa,6,10273.38,0,61640.28,44002.51,17637.77,Cash,Completed
ORD-10119,2025-05-31,CUST-1087,North,Furniture,Sofa,4,13938.22,0,55752.88,31727.44,24025.44,Digital Wallet,Cancelled
ORD-10120,2025-01-23,CUST-1002,North,Books,Novel,11,5497.91,15,51405.46,34901.13,16504.33,Digital Wallet,Completed
ORD-10121,2025-04-22,CUST-1043,East,Books,Novel,8,4717.29,15,32077.57,21477.63,10599.94,Card,Completed
ORD-10122,2025-04-26,CUST-1190,North,Electronics,Mouse,1,77336.32,15,65735.87,52408.08,13327.79,Digital Wallet,Completed
ORD-10123,2025-07-21,CUST-1120,South,Clothing,Shirt,12,2265.83,0,27189.96,18312.32,8877.64,Digital Wallet,Completed
ORD-10124,2025-05-29,CUST-1113,East,Books,Novel,9,3811.42,0,34302.78,27852.12,6450.66,Card,Completed
ORD-10125,2025-11-04,CUST-1139,Central,Sports,Bat,8,6560.32,5,49858.43,37444.02,12414.41,Digital Wallet,Completed
ORD-10126,2025-12-30,CUST-1040,West,Electronics,Keyboard,8,67969.76,20,435006.46,412201.5,22804.96,Card,Returned
ORD-10127,2025-11-27,CUST-1172,South,Books,Python Book,10,1488.4,10,13395.6,9130.13,4265.47,Bank Transfer,Cancelled
ORD-10128,2025-10-22,CUST-1269,North,Clothing,Shirt,9,,15,111069.43,80047.9,31021.53,Bank Transfer,Completed
ORD-10129,2025-02-22,CUST-1284,Central,Clothing,Shirt,3,14842.55,0,44527.65,29646.08,14881.57,Digital Wallet,Completed
ORD-10130,2025-06-05,CUST-1203,North,Sports,Bat,12,18998.18,10,205180.34,159262.55,45917.79,Card,Completed
ORD-10131,2025-05-02,CUST-1220,Central,Books,Python Book,11,898.54,10,8895.55,7287.59,1607.96,Card,Cancelled
ORD-10132,2025-11-28,CUST-1001,Central,Clothing,Cap,5,4935.89,5,23445.48,14922.7,8522.78,Bank Transfer,Completed
ORD-10133,2025-05-23,CUST-1016,West,Furniture,Cabinet,2,21448.56,10,38607.41,33316.75,5290.66,Cash,Cancelled
ORD-10134,2025-01-19,CUST-1335,East,Electronics,Tablet,2,98786.83,0,197573.66,160619.34,36954.32,Digital Wallet,Completed
ORD-10135,2025-02-21,CUST-1038,West,Sports,Bat,6,12454.83,20,59783.18,48590.12,11193.07,Card,Completed
ORD-10136,2025-08-28,CUST-1247,South,Clothing,Shirt,7,13853.04,10,87274.15,75250.6,12023.56,Card,Completed
ORD-10137,2025-10-20,CUST-1147,Central,Electronics,Keyboard,5,138625.98,5,658473.41,542094.98,116378.42,Cash,Completed
ORD-10138,2025-04-17,CUST-1067,South,Furniture,Chair,5,64272.21,0,321361.05,228057.07,93303.98,Card,Returned
ORD-10139,2025-08-26,CUST-1062,Central,Furniture,Cabinet,10,86520.65,5,821946.17,524420.11,297526.06,Card,Completed
ORD-10140,2025-01-23,CUST-1091,Central,Books,History Book,7,3346.17,20,18738.55,14171.87,4566.69,Card,Returned
ORD-10141,2025-08-03,CUST-1045,South,Electronics,Laptop,2,108108.38,0,216216.76,158297.33,57919.43,Card,Completed
ORD-10142,2025-12-03,CUST-1102,West,Clothing,Shoes,11,4172.2,10,41304.78,27062.03,14242.75,Cash,Returned
ORD-10143,2025-10-07,CUST-1078,South,Clothing,Shirt,8,9134.05,15,62111.54,46635.78,15475.76,Card,Completed
ORD-10144,2025-06-30,CUST-1252,Central,Clothing,Cap,6,7458.98,15,38040.8,34317.38,3723.42,Cash,Completed
ORD-10145,2025-03-29,CUST-1332,Central,Electronics,Laptop,1,107670.17,20,86136.14,58963.17,27172.97,Cash,Cancelled
ORD-10146,2025-08-27,CUST-1202,East,Books,AI Book,4,1930.24,0,7720.96,5239.67,2481.29,Card,Returned
ORD-10147,2025-02-11,CUST-1209,West,Clothing,Cap,8,6906.68,0,55253.44,42483.18,12770.26,Digital Wallet,Returned
ORD-10148,2025-05-05,CUST-1061,West,Electronics,Tablet,3,42790.34,0,128371.02,71227.43,57143.59,Card,Completed
ORD-10149,2025-08-19,CUST-1182,North,Clothing,Jacket,4,2137.2,5,8121.36,4706.6,3414.76,Card,Cancelled
ORD-10150,2025-03-10,CUST-1318,Central,Clothing,Shirt,3,1828.35,20,4388.04,3610.93,777.11,Card,Completed
ORD-10151,2025-02-16,CUST-1292,North,Electronics,Monitor,1,174400.11,10,156960.1,142765.82,14194.28,Card,Completed
ORD-10152,2025-12-01,CUST-1100,South,Sports,Racket,12,7422.17,10,80159.44,54625.75,25533.69,Card,Returned
ORD-10153,2025-11-02,CUST-1226,West,Sports,Bat,12,7470.35,0,89644.2,54885.27,34758.93,Card,Returned
ORD-10154,2025-12-22,CUST-1264,South,Furniture,Cabinet,4,79007.51,15,268625.53,206841.98,61783.55,Digital Wallet,Cancelled
ORD-10155,2025-03-17,CUST-1272,Central,Electronics,Laptop,12,69114.8,5,787908.72,593299.06,194609.66,Cash,Completed
ORD-10156,2025-06-08,CUST-1237,East,Clothing,Shirt,9,2753.36,5,23541.23,14284.86,9256.37,Bank Transfer,Completed
ORD-10157,2025-10-01,CUST-1230,North,Books,Python Book,1,4200.3,0,4200.3,2208.09,1992.21,Cash,Completed
ORD-10158,2025-09-20,CUST-1034,Central,Clothing,Jacket,12,8103.52,20,77793.79,77705.48,88.31,Cash,Cancelled
ORD-10159,2025-04-10,CUST-1243,South,Books,History Book,3,4008.19,0,12024.57,8358.94,3665.63,Digital Wallet,Returned
ORD-10160,2025-05-30,CUST-1211,East,Sports,Football,8,4778.14,0,38225.12,27201.73,11023.39,Card,Completed
ORD-10161,2025-12-30,CUST-1244,East,Books,Python Book,12,5613.41,15,57256.78,51168.26,6088.52,Bank Transfer,Completed
ORD-10162,2025-04-28,CUST-1017,North,Electronics,Tablet,11,142839.13,15,1335545.87,826546.25,508999.61,Card,Cancelled
ORD-10163,2025-10-19,CUST-1329,South,Clothing,Jacket,8,10979.71,0,87837.68,51714.52,36123.16,Bank Transfer,Completed
ORD-10164,2025-07-19,CUST-1283,West,Furniture,Shelf,5,62593.35,10,281670.08,234972.16,46697.92,Bank Transfer,Returned
ORD-10165,2025-01-15,CUST-1059,Central,Books,Math Book,2,5722.74,5,10873.21,7788.34,3084.86,Digital Wallet,Cancelled
ORD-10166,2025-01-12,CUST-1201,Central,Clothing,Jacket,12,8956.03,15,91351.51,72668.63,18682.88,Cash,Completed
ORD-10167,2025-12-31,CUST-1334,South,Electronics,Monitor,4,,10,356539.21,318909.8,37629.42,Card,Cancelled
ORD-10168,2025-11-19,CUST-1302,East,Books,History Book,4,1889.19,5,7178.92,4482.57,2696.35,Card,Completed
ORD-10169,2025-05-01,CUST-1244,West,Books,Novel,6,5378.72,15,27431.47,17683.53,9747.94,Bank Transfer,Completed
ORD-10170,2025-10-20,CUST-1226,West,Clothing,Cap,3,4005.4,5,11415.39,9431.03,1984.36,Digital Wallet,Returned
ORD-10171,2025-11-14,CUST-1111,East,Electronics,Tablet,9,162137.79,5,1386278.1,979065.1,407213.0,Bank Transfer,Completed
ORD-10172,2025-12-12,CUST-1025,Central,Books,AI Book,2,4071.32,15,6921.24,5103.68,1817.56,Bank Transfer,Completed
ORD-10173,2025-04-25,CUST-1105,West,Books,History Book,9,5198.2,10,42105.42,35611.24,6494.18,Digital Wallet,Completed
ORD-10174,2025-12-02,CUST-1141,Central,Electronics,Tablet,12,23470.34,5,267561.88,214782.62,52779.26,Cash,Completed
ORD-10175,2025-02-15,CUST-1181,West,Electronics,Keyboard,4,120819.75,15,410787.15,328889.56,81897.59,Bank Transfer,Completed
ORD-10176,2025-02-05,CUST-1058,North,Furniture,Desk,2,79068.46,5,150230.07,97377.71,52852.36,Bank Transfer,Completed
ORD-10177,2025-01-24,CUST-1133,South,Books,History Book,12,3753.53,15,38286.01,24724.12,13561.89,Cash,Returned
ORD-10178,2025-03-23,CUST-1278,West,Sports,Bat,4,6706.59,0,26826.36,14352.8,12473.56,Cash,Completed
ORD-10179,2025-01-27,CUST-1132,West,Clothing,Jeans,3,12243.31,20,29383.94,28357.01,1026.93,Digital Wallet,Completed
ORD-10180,2025-08-13,CUST-1175,West,Clothing,Shoes,4,5812.42,20,18599.74,16095.01,2504.74,Cash,Completed
ORD-10181,2025-11-24,CUST-1199,Central,Electronics,Keyboard,2,40321.23,5,76610.34,63794.53,12815.81,Digital Wallet,Completed
ORD-10182,2025-01-24,CUST-1018,West,Books,AI Book,2,4550.21,0,9100.42,5635.39,3465.03,Bank Transfer,Completed
ORD-10183,2025-02-19,CUST-1255,West,Sports,Football,2,12883.33,10,23189.99,20294.1,2895.89,Bank Transfer,Cancelled
ORD-10184,2025-03-21,CUST-1322,Central,Clothing,Jacket,12,6327.79,0,75933.48,51053.6,24879.88,Bank Transfer,Returned
ORD-10185,2025-11-25,CUST-1144,North,Books,Math Book,10,819.98,5,7789.81,6423.2,1366.61,Card,Returned
ORD-10186,2025-11-24,CUST-1044,South,Books,AI Book,2,621.86,15,1057.16,775.14,282.02,Digital Wallet,Completed
ORD-10187,2025-07-16,CUST-1325,Central,Books,Math Book,3,4218.69,0,12656.07,6990.5,5665.57,Bank Transfer,Completed
ORD-10188,2025-10-15,CUST-1151,Central,Sports,Gloves,6,12734.93,5,72589.1,41887.5,30701.61,Card,Completed
ORD-10189,2025-11-11,CUST-1105,Central,Electronics,Monitor,10,98494.14,15,837200.19,721961.53,115238.66,Card,Cancelled
ORD-10190,2025-03-17,CUST-1045,Central,Books,Math Book,1,5194.74,20,4155.79,3622.5,533.29,Digital Wallet,Completed
ORD-10191,2025-04-22,CUST-1027,South,Electronics,Monitor,8,68303.61,5,519107.44,399573.7,119533.74,Digital Wallet,Completed
ORD-10192,2025-11-27,CUST-1236,Central,Clothing,Jacket,6,14495.56,10,78276.02,62462.7,15813.32,Card,Completed
ORD-10193,2025-06-25,CUST-1116,,Books,Math Book,4,5864.93,0,23459.72,17253.61,6206.11,Bank Transfer,Returned
ORD-10194,2025-03-17,CUST-1073,,Clothing,Shirt,10,13904.77,0,139047.7,96513.8,42533.9,Bank Transfer,Completed
ORD-10195,2025-04-02,CUST-1048,West,Sports,Racket,7,13022.64,15,77484.71,70784.52,6700.18,Cash,Completed
ORD-10196,2025-01-22,CUST-1203,East,Furniture,Desk,10,25681.58,5,243975.01,192746.51,51228.5,Cash,Completed
ORD-10197,2025-09-23,CUST-1331,West,Books,Python Book,12,1920.47,20,18436.51,12079.24,6357.27,Bank Transfer,Returned
ORD-10198,2025-06-15,CUST-1016,South,Clothing,Jacket,11,8176.35,15,76448.87,49006.43,27442.44,Cash,Completed
ORD-10199,2025-03-03,CUST-1211,North,Electronics,Laptop,2,174265.41,5,331104.28,269639.7,61464.58,Digital Wallet,Completed
ORD-10200,2025-09-26,CUST-1128,North,Electronics,Keyboard,1,117063.21,5,111210.05,74281.3,36928.75,Card,Returned
ORD-10201,2025-02-13,CUST-1344,South,Electronics,Monitor,5,165040.55,5,783942.61,546811.72,237130.89,Bank Transfer,Cancelled
ORD-10202,2025-05-28,CUST-1338,Central,Clothing,Shirt,10,9028.17,15,76739.44,66215.98,10523.47,Card,Completed
ORD-10203,2025-02-28,CUST-1086,Central,Clothing,Cap,10,14870.08,0,148700.8,103910.54,44790.26,Bank Transfer,Completed
ORD-10204,2025-10-22,CUST-1070,West,Clothing,Jeans,1,12068.87,5,11465.43,8394.32,3071.11,Bank Transfer,Completed
ORD-10205,2025-03-19,CUST-1172,North,Furniture,Sofa,7,79199.77,5,526678.47,312656.13,214022.34,Digital Wallet,Returned
ORD-10206,2025-07-07,CUST-1162,South,Clothing,Jacket,4,3499.88,5,13299.54,9655.6,3643.94,Digital Wallet,Completed
ORD-10207,2025-02-08,CUST-1244,Central,Books,History Book,3,2879.43,0,8638.29,6610.39,2027.9,Cash,Cancelled
ORD-10208,2025-02-26,CUST-1215,North,Electronics,Laptop,10,116096.53,0,1160965.3,844061.37,316903.93,Digital Wallet,Completed
ORD-10209,2025-09-10,CUST-1069,East,Sports,Bat,8,20449.33,5,155414.91,97166.39,58248.52,Cash,Completed
