age,income,experience_years,education,city,job_type,credit_score,monthly_spending,loan_amount,loan_approved
61,63469.0,36,Master,Islamabad,Business,719.0,2739.0,1469487.0,1
42,75677.0,24,Master,Rawalpindi,Business,662.0,2122.0,1420779.0,1
44,48001.0,26,Master,Islamabad,Freelance,756.0,1945.0,2359212.0,1
59,63037.0,38,Bachelor,Peshawar,Private,671.0,3232.0,2653329.0,1
45,65660.0,25,Bachelor,Islamabad,Freelance,620.0,3114.0,1524641.0,0
33,49502.0,6,High School,Lahore,Freelance,627.0,2552.0,687170.0,0
32,48977.0,13,Bachelor,Rawalpindi,Freelance,611.0,2618.0,2946996.0,0
64,67172.0,44,Bachelor,Islamabad,Private,661.0,1423.0,1714193.0,1
61,62132.0,43,PhD,Karachi,Government,766.0,2584.0,3357290.0,1
20,76011.0,2,Bachelor,Islamabad,Freelance,624.0,2630.0,100000.0,1
54,41828.0,31,Bachelor,Rawalpindi,Government,693.0,2070.0,1975863.0,0
24,57285.0,2,Bachelor,Peshawar,Government,634.0,1674.0,3526746.0,1
38,59957.0,13,Bachelor,Peshawar,Government,662.0,3210.0,1482062.0,0
26,82905.0,7,Master,Rawalpindi,Government,574.0,3423.0,1597056.0,0
56,44311.0,35,Bachelor,Lahore,Private,665.0,2095.0,2065961.0,1
35,70162.0,10,Bachelor,Lahore,Government,666.0,1662.0,1297084.0,0
21,,0,Master,Peshawar,Private,718.0,1902.0,1519135.0,0
42,101221.0,24,Bachelor,Peshawar,Private,696.0,4668.0,1495966.0,1
31,42844.0,10,Bachelor,Rawalpindi,Private,596.0,924.0,1235321.0,0
26,50541.0,8,Master,Lahore,Government,756.0,2429.0,2905971.0,1
43,44378.0,24,Master,Peshawar,Private,695.0,945.0,2214970.0,1
19,28265.0,0,High School,Lahore,Freelance,694.0,1208.0,2025565.0,1
37,103823.0,12,Master,Peshawar,Freelance,679.0,3426.0,2527714.0,1
45,37687.0,20,Master,Islamabad,Private,644.0,1553.0,1562080.0,1
64,47041.0,44,Bachelor,Karachi,Private,695.0,2071.0,1103217.0,1
24,93947.0,3,PhD,Islamabad,Private,713.0,3030.0,1257638.0,1
61,,34,Master,Peshawar,Business,558.0,646.0,1801605.0,1
25,81640.0,2,Master,Karachi,Government,642.0,1890.0,846709.0,0
64,33913.0,37,Master,Karachi,Government,662.0,1372.0,1349765.0,1
52,92427.0,32,High School,Peshawar,Private,698.0,3530.0,1335495.0,1
31,20000.0,12,Bachelor,Peshawar,Government,764.0,911.0,3712101.0,0
34,26424.0,11,Bachelor,Lahore,Business,626.0,999.0,100000.0,1
53,53012.0,31,Bachelor,Peshawar,Freelance,,1851.0,1638342.0,1
57,86380.0,30,Bachelor,Rawalpindi,Government,644.0,2946.0,3353124.0,1
21,64319.0,0,Master,Peshawar,Private,624.0,1397.0,1909660.0,0
19,57614.0,0,Master,Rawalpindi,Private,656.0,1845.0,2478076.0,0
23,94613.0,1,Bachelor,Peshawar,Private,734.0,5049.0,1889844.0,1
59,112415.0,32,Master,Lahore,Private,606.0,5615.0,1199400.0,1
21,79790.0,0,Master,Rawalpindi,Private,710.0,2538.0,100000.0,1
46,51297.0,26,Bachelor,,Private,561.0,2074.0,1984910.0,1
35,55801.0,11,Bachelor,Rawalpindi,Private,641.0,2739.0,1101954.0,1
43,36654.0,20,Bachelor,Lahore,Business,657.0,1303.0,1079698.0,0
61,67218.0,40,Master,Rawalpindi,Government,797.0,1441.0,1350911.0,1
51,29149.0,32,Bachelor,Peshawar,Freelance,661.0,680.0,3370375.0,1
27,77141.0,1,Master,Peshawar,Freelance,526.0,2920.0,3964354.0,0
53,109123.0,35,High School,Lahore,Private,540.0,5800.0,1995487.0,0
31,80787.0,10,Master,Karachi,Freelance,682.0,3550.0,1381709.0,1
48,54679.0,30,Master,Peshawar,Private,723.0,1268.0,740496.0,1
32,76593.0,9,Master,Islamabad,Government,706.0,2079.0,2221686.0,1
25,100652.0,4,PhD,Lahore,Private,692.0,4685.0,3404615.0,1
31,99551.0,9,Master,Rawalpindi,Business,761.0,4866.0,1577394.0,1
40,42917.0,18,Master,Rawalpindi,Private,642.0,1778.0,100000.0,1
57,76227.0,31,PhD,Islamabad,Private,743.0,3225.0,2403045.0,1
38,61522.0,20,Master,Peshawar,Business,566.0,1340.0,2686860.0,0
33,82745.0,14,Master,Lahore,Private,617.0,4009.0,372739.0,1
62,73440.0,39,High School,Islamabad,Freelance,554.0,3460.0,1958836.0,1
35,,13,Bachelor,,Freelance,661.0,589.0,2206103.0,0
64,57344.0,40,Bachelor,Lahore,Freelance,677.0,2549.0,1734203.0,1
41,69368.0,21,Bachelor,Rawalpindi,Business,688.0,1942.0,1088306.0,1
43,33444.0,23,Bachelor,Lahore,Business,684.0,742.0,2714344.0,1
42,77782.0,15,PhD,Karachi,Private,615.0,2142.0,1436958.0,1
62,31472.0,43,Master,Lahore,Freelance,667.0,843.0,463332.0,1
58,47434.0,38,Master,,Government,575.0,1522.0,100000.0,0
46,94509.0,19,Bachelor,Lahore,Government,775.0,3287.0,2934765.0,1
32,,14,High School,Karachi,Private,659.0,1721.0,2354998.0,0
62,,40,High School,Rawalpindi,Freelance,646.0,2851.0,1879176.0,1
18,,0,Bachelor,Peshawar,Business,791.0,789.0,1403753.0,1
42,110789.0,18,High School,Karachi,Business,593.0,2416.0,1323901.0,0
24,58300.0,3,High School,Karachi,Private,601.0,2390.0,831837.0,1
26,67097.0,6,Master,Rawalpindi,Private,603.0,2283.0,1411690.0,0
41,68939.0,23,Master,Karachi,Private,675.0,2123.0,100000.0,1
18,78366.0,0,Bachelor,Islamabad,Freelance,710.0,3897.0,1137543.0,1
61,31578.0,41,High School,Rawalpindi,Freelance,732.0,1444.0,1520156.0,1
25,64883.0,6,Bachelor,Islamabad,Government,850.0,3207.0,2348892.0,1
41,50507.0,20,High School,Rawalpindi,Private,523.0,1886.0,1764066.0,1
28,27830.0,8,PhD,Karachi,Private,723.0,701.0,2515431.0,1
34,86717.0,16,Bachelor,Islamabad,Government,641.0,3819.0,3014222.0,1
25,57252.0,5,Bachelor,Karachi,Business,639.0,1586.0,2752353.0,1
52,70335.0,33,Bachelor,Rawalpindi,Government,637.0,2500.0,2223459.0,1
52,68957.0,27,High School,Karachi,Private,616.0,1586.0,1810676.0,0
50,57633.0,27,Bachelor,Islamabad,Government,798.0,2786.0,917291.0,1
22,108451.0,0,Master,Islamabad,Private,739.0,2715.0,2465950.0,0
59,63960.0,34,Master,Karachi,Business,682.0,3258.0,3311773.0,1
56,30725.0,29,High School,Lahore,Private,775.0,1525.0,2107895.0,1
58,56192.0,38,Bachelor,Rawalpindi,Government,574.0,2041.0,3525533.0,1
45,75994.0,23,Bachelor,Rawalpindi,Private,587.0,3469.0,426985.0,1
24,76717.0,0,Master,Karachi,Freelance,528.0,3182.0,761253.0,0
26,41069.0,4,Bachelor,Lahore,Freelance,631.0,1955.0,2569681.0,0
25,85449.0,0,,Islamabad,Freelance,691.0,3010.0,2037861.0,1
29,26217.0,7,,Peshawar,Private,687.0,1233.0,2982404.0,0
51,90171.0,33,Bachelor,Peshawar,Private,690.0,3269.0,1786076.0,1
50,35974.0,28,Bachelor,Karachi,Private,581.0,1878.0,1018822.0,1
40,60023.0,19,Bachelor,Lahore,Freelance,736.0,2224.0,1607766.0,1
41,88421.0,18,Bachelor,Lahore,Private,697.0,3206.0,420584.0,1
54,67631.0,34,Master,Rawalpindi,Government,,3179.0,784268.0,1
52,82967.0,30,Bachelor,Islamabad,Business,548.0,4001.0,2675200.0,0
61,78611.0,42,PhD,Lahore,Business,702.0,3091.0,2585509.0,1
57,93298.0,34,Bachelor,Peshawar,Private,597.0,2503.0,2126704.0,1
39,88369.0,16,PhD,Islamabad,Government,652.0,3219.0,251030.0,1
44,55018.0,22,Master,Islamabad,Private,717.0,2922.0,1477437.0,1
52,78925.0,29,Bachelor,Karachi,Freelance,,3625.0,697500.0,1
18,31416.0,0,Master,Lahore,Freelance,620.0,1504.0,2858880.0,0
52,63726.0,30,High School,Karachi,Private,680.0,1397.0,1274650.0,1
54,,36,Master,Lahore,Private,573.0,3024.0,822827.0,1
64,,39,Bachelor,Rawalpindi,Freelance,761.0,2880.0,1826817.0,1
31,74826.0,10,High School,Karachi,Business,666.0,3629.0,1223861.0,0
20,60308.0,0,Bachelor,Karachi,Private,758.0,1355.0,3135370.0,0
18,89840.0,0,PhD,Peshawar,Government,643.0,4424.0,1138670.0,1
22,63231.0,0,High School,Karachi,Private,643.0,2473.0,540695.0,0
43,54760.0,25,Bachelor,Lahore,Private,627.0,1501.0,100000.0,1
31,84503.0,11,Master,Peshawar,Business,741.0,2654.0,1772292.0,1
56,34086.0,36,Master,Karachi,Freelance,630.0,1030.0,1294263.0,1
44,76023.0,17,Bachelor,Karachi,Freelance,725.0,2929.0,513986.0,1
26,42065.0,5,Bachelor,Rawalpindi,Private,653.0,949.0,2870304.0,0
32,,9,High School,Karachi,Freelance,542.0,2432.0,2400521.0,0
32,59257.0,8,Bachelor,Islamabad,Private,640.0,2840.0,1774604.0,1
43,67970.0,16,Bachelor,Peshawar,Private,597.0,1716.0,3027894.0,1
59,74077.0,38,PhD,Islamabad,Government,682.0,2120.0,2396282.0,1
30,22547.0,7,High School,Peshawar,Private,597.0,810.0,1059430.0,0
49,50687.0,31,Master,Rawalpindi,Freelance,745.0,1930.0,864702.0,1
56,87958.0,31,High School,Karachi,Government,674.0,4071.0,2536183.0,1
49,84091.0,25,High School,Karachi,Private,668.0,3006.0,2156730.0,0
21,71227.0,0,Bachelor,Karachi,Private,726.0,3359.0,1952773.0,1
47,35312.0,27,Bachelor,Peshawar,Private,747.0,1464.0,1038152.0,1
54,77881.0,35,Master,Karachi,Private,679.0,1916.0,2347153.0,1
40,80695.0,22,Master,Islamabad,Government,626.0,2102.0,1120051.0,1
56,66034.0,36,Bachelor,Karachi,Freelance,556.0,2338.0,1708212.0,0
62,91910.0,40,PhD,Rawalpindi,Private,632.0,3131.0,3102250.0,1
32,,13,Master,Islamabad,Private,637.0,2279.0,1205249.0,0
60,53783.0,40,Bachelor,Karachi,Government,687.0,2162.0,384310.0,1
46,20000.0,25,Master,Karachi,Freelance,656.0,675.0,852708.0,1
53,85236.0,29,Bachelor,Lahore,Private,728.0,2261.0,2694869.0,1
30,71905.0,10,High School,Peshawar,Private,637.0,2042.0,2029258.0,1
49,28000.0,23,Master,Islamabad,Government,676.0,1120.0,1684010.0,0
24,26311.0,0,High School,Lahore,Private,763.0,920.0,1341816.0,1
39,45802.0,18,Bachelor,Rawalpindi,Private,704.0,1740.0,2236824.0,1
45,82460.0,27,Master,Peshawar,Freelance,676.0,2187.0,1035806.0,1
19,58392.0,1,High School,Islamabad,Government,638.0,2507.0,2075099.0,0
59,47295.0,41,Bachelor,Karachi,Government,636.0,2329.0,1141871.0,0
62,42865.0,44,Master,Islamabad,Freelance,620.0,1262.0,992107.0,1
23,41880.0,0,Bachelor,Karachi,Freelance,642.0,1559.0,1226261.0,0
45,22459.0,25,Bachelor,Peshawar,Private,733.0,1198.0,1462133.0,1
45,38437.0,22,Master,Karachi,Private,664.0,1228.0,1756053.0,0
61,41447.0,41,Bachelor,Rawalpindi,Private,586.0,1686.0,2011910.0,1
61,,39,Bachelor,Karachi,Private,804.0,1908.0,100000.0,1
37,61354.0,13,PhD,Rawalpindi,Freelance,702.0,2518.0,1073114.0,1
47,46837.0,28,Master,Peshawar,Business,582.0,1116.0,1447587.0,1
28,115814.0,5,Bachelor,Peshawar,Business,649.0,6116.0,3154556.0,0
45,50394.0,22,Master,Islamabad,Government,688.0,2252.0,827998.0,0
42,90676.0,22,Master,Rawalpindi,Private,799.0,4271.0,1946517.0,1
56,100664.0,33,High School,Rawalpindi,Private,602.0,4460.0,3145527.0,1
50,30461.0,23,Bachelor,Lahore,Freelance,748.0,1233.0,618328.0,1
18,66627.0,0,Bachelor,Lahore,Government,778.0,2387.0,2154578.0,1
44,53614.0,22,Master,Lahore,Government,636.0,2651.0,1077955.0,1
30,51824.0,11,Bachelor,Karachi,Freelance,661.0,2733.0,1345830.0,1
58,77218.0,32,Bachelor,Lahore,Freelance,607.0,2893.0,1077200.0,1
20,51297.0,0,PhD,Rawalpindi,Freelance,666.0,2662.0,1141328.0,1
56,54089.0,36,Master,Karachi,Private,677.0,2179.0,4249721.0,1
23,61301.0,0,High School,Peshawar,Freelance,726.0,2377.0,2560010.0,0
25,56785.0,0,Bachelor,Islamabad,Business,756.0,2043.0,2791564.0,1
44,39181.0,24,Bachelor,Lahore,Private,628.0,1090.0,2242794.0,1
26,82510.0,6,Bachelor,Peshawar,Government,542.0,1729.0,354369.0,0
54,88068.0,35,Master,Rawalpindi,Private,679.0,2544.0,2155462.0,1
50,,25,Master,Islamabad,Business,701.0,2745.0,2765637.0,1
59,56716.0,32,Bachelor,Peshawar,Private,697.0,1900.0,1031940.0,1
61,49485.0,43,Bachelor,Islamabad,Government,657.0,1771.0,2668794.0,1
41,49520.0,16,Master,Lahore,Private,689.0,2650.0,2433903.0,1
32,116862.0,8,Bachelor,Rawalpindi,Freelance,786.0,3799.0,3466836.0,1
49,85632.0,25,High School,Islamabad,Private,,3075.0,1423995.0,1
49,46518.0,29,Bachelor,,Private,654.0,1176.0,812150.0,1
41,68623.0,23,High School,Lahore,Government,645.0,1539.0,1474535.0,1
58,57024.0,37,PhD,Lahore,Business,668.0,2662.0,3092014.0,1
29,77844.0,3,High School,Peshawar,Private,795.0,3103.0,154435.0,1
56,76957.0,34,Bachelor,Peshawar,Private,667.0,3555.0,100000.0,1
19,88839.0,1,Bachelor,Islamabad,Freelance,679.0,2295.0,1880456.0,0
20,46288.0,0,PhD,Karachi,Government,,1847.0,1401670.0,1
54,67304.0,29,High School,Lahore,Business,757.0,1971.0,1806955.0,1
34,26532.0,9,High School,Islamabad,Private,817.0,754.0,2650781.0,1
19,37339.0,0,High School,Peshawar,Government,712.0,792.0,1302688.0,1
19,84450.0,0,High School,Islamabad,Private,686.0,2126.0,114295.0,0
45,44085.0,27,Bachelor,Peshawar,Private,683.0,1373.0,3640033.0,1
40,46500.0,19,Bachelor,Rawalpindi,Freelance,513.0,1150.0,902495.0,0
54,64818.0,34,Bachelor,Peshawar,Government,732.0,3480.0,846867.0,1
49,80285.0,30,High School,Peshawar,Freelance,689.0,2499.0,2793348.0,1
50,41662.0,25,Master,Peshawar,Private,710.0,1049.0,1453960.0,0
18,20000.0,0,Bachelor,Karachi,Private,,549.0,1742949.0,0
36,45855.0,10,Bachelor,Peshawar,Private,653.0,1854.0,2234511.0,0
19,91524.0,0,Bachelor,Lahore,Business,651.0,2102.0,2775225.0,0
61,72549.0,40,PhD,Lahore,Private,752.0,3597.0,1499885.0,1
43,94125.0,20,High School,Islamabad,Private,653.0,4978.0,3167957.0,1
49,40100.0,29,Master,Karachi,Private,826.0,1165.0,100000.0,1
23,28933.0,0,Master,Islamabad,Government,710.0,1037.0,2483809.0,0
49,75176.0,29,High School,Lahore,Private,591.0,1622.0,1044425.0,0
21,70281.0,2,PhD,Lahore,Business,671.0,2965.0,3035044.0,0
28,71722.0,8,Bachelor,Rawalpindi,Private,634.0,2484.0,1927840.0,0
34,85526.0,11,High School,Peshawar,Business,526.0,2552.0,1194385.0,1
55,74277.0,36,Master,,Private,792.0,2060.0,2396557.0,1
41,73924.0,16,Master,Islamabad,Freelance,729.0,3152.0,2603870.0,0
22,80730.0,4,Bachelor,Islamabad,Business,717.0,2802.0,2377705.0,1
51,76053.0,27,High School,Peshawar,Private,692.0,2040.0,873273.0,1
23,83864.0,4,Bachelor,Peshawar,Business,583.0,3674.0,1364385.0,0
39,87187.0,12,Master,Rawalpindi,Government,646.0,3459.0,1796334.0,1
28,98697.0,5,Bachelor,Karachi,Business,739.0,4881.0,1762866.0,0
33,50718.0,14,Bachelor,Islamabad,Freelance,606.0,1255.0,2474771.0,1
50,75572.0,31,High School,Peshawar,Private,503.0,3554.0,100000.0,0
26,56853.0,0,High School,Islamabad,Private,664.0,2461.0,2100894.0,0
23,46662.0,0,Master,Peshawar,Private,670.0,1151.0,1539017.0,0
33,49830.0,14,Bachelor,Lahore,Private,689.0,2192.0,1045349.0,1
46,75889.0,22,PhD,Islamabad,Private,731.0,2698.0,1131762.0,1
20,74202.0,0,Bachelor,Lahore,Private,725.0,3883.0,1606916.0,1
37,73809.0,12,,Islamabad,Private,698.0,1886.0,100000.0,1
53,60034.0,29,Bachelor,Karachi,Freelance,764.0,2537.0,1168839.0,1
36,65075.0,11,Bachelor,Rawalpindi,Private,574.0,2184.0,1011767.0,0
43,82991.0,19,High School,Lahore,Private,715.0,4376.0,2279505.0,1
20,32233.0,0,Bachelor,Peshawar,Government,724.0,1026.0,1075026.0,1
36,65542.0,12,Bachelor,Karachi,Private,593.0,3468.0,1606398.0,1
37,66979.0,15,PhD,Islamabad,Private,575.0,3408.0,3188049.0,0
49,81573.0,25,Master,Lahore,Private,628.0,2435.0,2694916.0,1
24,35295.0,6,High School,Islamabad,Business,634.0,1681.0,2612044.0,1
58,97893.0,40,High School,Islamabad,Freelance,733.0,5288.0,1350115.0,1
50,69700.0,24,,Islamabad,Private,637.0,2039.0,2288729.0,1
57,,35,Bachelor,Rawalpindi,Freelance,620.0,2508.0,1589492.0,0
56,56170.0,34,Master,Rawalpindi,Government,637.0,2144.0,1623516.0,0
35,76836.0,15,PhD,Peshawar,Freelance,758.0,2356.0,2168717.0,1
57,66055.0,35,High School,Lahore,Freelance,681.0,1410.0,1262706.0,1
18,91598.0,0,Bachelor,Karachi,Government,667.0,2580.0,3143703.0,0
28,33287.0,2,Bachelor,Karachi,Private,672.0,1006.0,1655883.0,0
45,68862.0,19,Master,Karachi,Private,770.0,2453.0,2356525.0,1
42,73987.0,19,Bachelor,Islamabad,Government,628.0,1963.0,3110040.0,1
40,60900.0,22,Master,Rawalpindi,Business,772.0,3041.0,2728488.0,1
48,56097.0,24,Master,Lahore,Government,695.0,2487.0,531973.0,1
47,57015.0,23,High School,Islamabad,Freelance,669.0,1350.0,2200406.0,0
59,68842.0,32,Master,Rawalpindi,Business,850.0,2926.0,2565647.0,1
52,25181.0,25,High School,Rawalpindi,Private,606.0,1073.0,2602677.0,1
24,86230.0,3,Master,Lahore,Freelance,655.0,4545.0,798035.0,1
33,54437.0,8,Bachelor,,Freelance,594.0,1140.0,1208668.0,0
43,67812.0,20,Bachelor,Lahore,Business,747.0,1973.0,2695102.0,1
19,73076.0,0,Master,Islamabad,Business,798.0,3782.0,1114416.0,0
18,53432.0,0,Master,Peshawar,Freelance,797.0,2773.0,1530274.0,0
29,62117.0,10,Master,Lahore,Private,766.0,2786.0,3218288.0,1
22,20225.0,3,Bachelor,Peshawar,Freelance,666.0,938.0,1756981.0,0
54,81107.0,33,Master,Islamabad,Private,654.0,1937.0,1145903.0,1
49,88762.0,27,Bachelor,Peshawar,Freelance,563.0,3370.0,1010144.0,1
26,27578.0,1,Master,Karachi,Business,823.0,787.0,2099447.0,0
58,56057.0,35,Bachelor,Peshawar,Private,713.0,1506.0,600167.0,1
52,37943.0,31,PhD,Lahore,Government,646.0,1815.0,1577398.0,1
36,61090.0,12,PhD,Islamabad,Private,773.0,1548.0,2099907.0,1
33,79270.0,8,Master,Lahore,Private,612.0,2890.0,2969235.0,1
20,86721.0,1,Bachelor,Karachi,Private,708.0,4520.0,2400793.0,1
37,89681.0,13,High School,Lahore,Freelance,668.0,2424.0,1157341.0,1
41,93832.0,22,Master,Lahore,Business,725.0,5014.0,2860577.0,1
50,60107.0,31,High School,Lahore,Business,676.0,3244.0,1530436.0,1
41,39767.0,16,Master,Rawalpindi,Private,578.0,1565.0,687867.0,1
28,62479.0,9,Bachelor,Karachi,Business,685.0,1656.0,1645163.0,1
25,78932.0,0,Bachelor,Lahore,Freelance,753.0,2476.0,3094352.0,0
53,38000.0,35,Master,Lahore,Private,678.0,1329.0,1948716.0,1
55,101523.0,29,Bachelor,Lahore,Private,734.0,3162.0,1811270.0,1
57,84754.0,39,Bachelor,Islamabad,Private,607.0,2559.0,3273490.0,1
37,60456.0,10,Bachelor,Rawalpindi,Business,678.0,3219.0,511781.0,1
52,49361.0,25,Bachelor,Islamabad,Government,636.0,1281.0,642961.0,1
42,50279.0,23,Master,Rawalpindi,Freelance,732.0,2277.0,345738.0,1
52,66633.0,29,Bachelor,Lahore,Private,682.0,1389.0,2135383.0,1
42,59953.0,19,PhD,Karachi,Freelance,728.0,2440.0,1949844.0,1
46,,28,Master,Peshawar,Private,756.0,4413.0,3188463.0,1
35,57455.0,11,Bachelor,Peshawar,Private,728.0,1748.0,2019128.0,1
63,76121.0,38,Master,Lahore,Government,699.0,2057.0,1436259.0,1
35,64364.0,16,Bachelor,Islamabad,Private,610.0,2739.0,1801615.0,0
19,70933.0,0,Bachelor,Karachi,Freelance,680.0,3163.0,1905937.0,1
52,59939.0,26,PhD,Rawalpindi,Private,643.0,2623.0,295415.0,1
33,80570.0,10,High School,Lahore,Freelance,656.0,2536.0,4239298.0,0
58,80896.0,36,,Karachi,Private,654.0,2365.0,2267884.0,1
53,75118.0,27,Bachelor,Karachi,Government,611.0,3959.0,1989007.0,1
50,78365.0,24,Bachelor,Rawalpindi,Private,543.0,4044.0,2353648.0,1
21,44224.0,3,Bachelor,Karachi,Private,633.0,1595.0,2438470.0,1
50,72111.0,30,Master,Islamabad,Business,694.0,3536.0,1673502.0,1
31,92482.0,5,Bachelor,Islamabad,Private,586.0,3321.0,1231883.0,1
38,75811.0,19,Bachelor,Islamabad,Freelance,681.0,2652.0,2339506.0,0
37,42324.0,16,High School,Karachi,Business,813.0,1103.0,2147140.0,0
25,63905.0,4,Bachelor,Islamabad,Private,752.0,2240.0,1071099.0,1
24,73250.0,5,Bachelor,Rawalpindi,Private,795.0,2838.0,3077132.0,1
20,48337.0,0,Bachelor,,Freelance,707.0,1043.0,2064017.0,0
34,35118.0,14,Bachelor,Peshawar,Business,762.0,1252.0,2456837.0,1
50,58046.0,32,High School,Karachi,Business,629.0,2721.0,3052729.0,1
29,48702.0,6,Bachelor,Rawalpindi,Government,635.0,2119.0,1819700.0,0
39,64686.0,14,Bachelor,Peshawar,Freelance,488.0,2717.0,2085257.0,0
39,29989.0,19,,Karachi,Private,763.0,1534.0,2529025.0,1
63,77423.0,41,PhD,Islamabad,Business,788.0,1660.0,1147625.0,1
47,51039.0,29,Bachelor,Lahore,Business,641.0,2011.0,1848646.0,1
55,86907.0,28,Master,Lahore,Private,662.0,4091.0,1912994.0,1
55,58908.0,31,Master,Islamabad,Private,627.0,2290.0,939547.0,1
62,64441.0,35,Bachelor,Lahore,Private,707.0,2038.0,3885873.0,1
25,61193.0,7,High School,Lahore,Private,759.0,1553.0,533436.0,1
44,49860.0,18,Master,Islamabad,Freelance,558.0,2514.0,631706.0,0
44,119390.0,19,Master,Islamabad,Private,709.0,4361.0,2982804.0,1
51,54091.0,27,Bachelor,Karachi,Private,661.0,2710.0,2441940.0,0
38,87517.0,11,Master,Karachi,Private,688.0,3532.0,876632.0,1
47,40940.0,23,Bachelor,Islamabad,Business,712.0,1773.0,2346560.0,1
50,73187.0,28,Master,Rawalpindi,Government,667.0,3487.0,3121065.0,1
45,75535.0,23,PhD,Lahore,Private,673.0,3233.0,1772763.0,1
64,64468.0,42,Bachelor,Karachi,Private,665.0,2198.0,4138941.0,1
50,52438.0,32,Master,Lahore,Business,748.0,1990.0,248344.0,1
22,59207.0,0,Bachelor,Peshawar,Freelance,709.0,2818.0,2424441.0,0
36,56128.0,18,Master,Islamabad,Private,695.0,1868.0,2849876.0,1
21,117845.0,0,Master,Rawalpindi,Private,591.0,3980.0,2602210.0,0
52,64503.0,26,High School,Peshawar,Private,653.0,1550.0,1616080.0,1
34,76548.0,8,Bachelor,Peshawar,Private,743.0,3928.0,1538603.0,1
61,104196.0,39,Bachelor,Peshawar,Government,683.0,2487.0,2199731.0,1
45,45721.0,24,Master,Islamabad,Business,726.0,1940.0,2534179.0,1
47,65829.0,27,Bachelor,Karachi,Government,804.0,2278.0,2342226.0,1
46,59078.0,26,Master,Islamabad,Freelance,753.0,2030.0,2736052.0,1
63,63105.0,41,High School,Karachi,Private,687.0,2744.0,883017.0,1
23,61062.0,0,Bachelor,Peshawar,Freelance,644.0,1409.0,1595006.0,1
52,48899.0,34,Bachelor,Peshawar,Freelance,501.0,1986.0,953986.0,1
58,69299.0,36,Master,Rawalpindi,Private,668.0,3227.0,1452499.0,1
54,41622.0,31,Master,Karachi,Private,657.0,2016.0,2713699.0,1
41,86755.0,17,PhD,Peshawar,Government,707.0,2301.0,1897186.0,1
46,78713.0,20,Master,Lahore,Private,669.0,3994.0,4146173.0,0
63,54144.0,43,Master,Rawalpindi,Private,658.0,2312.0,1974066.0,1
48,55210.0,29,Bachelor,Islamabad,Government,555.0,2773.0,1853723.0,1
52,71061.0,32,Bachelor,Rawalpindi,Business,614.0,2630.0,1895565.0,1
50,47432.0,24,Bachelor,Lahore,Government,713.0,1845.0,1225972.0,1
38,104864.0,14,Master,Karachi,Freelance,800.0,5397.0,1747947.0,1
49,72874.0,23,Master,Islamabad,Private,673.0,3704.0,2815009.0,1
40,73652.0,21,High School,Islamabad,Freelance,703.0,2635.0,1902574.0,1
50,79992.0,28,Master,Karachi,Government,747.0,2398.0,1085886.0,1
20,52252.0,0,Master,Rawalpindi,Business,623.0,1773.0,967424.0,0
35,88958.0,16,Bachelor,Peshawar,Private,706.0,3003.0,1394818.0,1
42,67520.0,16,High School,Rawalpindi,Government,,2052.0,1866477.0,1
